district,stunting_pct,wasting_pct,severe_wasting_pct,underweight_pct,anaemia_children_pct,anaemia_women_pct,women_bmi_below_normal_pct,households_surveyed,ctrl_women_literacy,ctrl_improved_sanitation,ctrl_clean_cooking_fuel,ctrl_improved_drinking_water,ctrl_health_insurance,ctrl_institutional_births,ctrl_adequate_diet,ctrl_exclusive_breastfeeding,p_vol_logret_cereals,p_vol_logret_other,p_vol_logret_pulses,p_vol_logret_overall,p_cv_overall,p_range_ratio_overall,p_spike_share_overall,p_n_commodities_used,p_vol_logret_veg,p_low_coverage,e_vol_logret_cereals,e_vol_logret_other,e_vol_logret_pulses,e_vol_logret_overall,e_cv_overall,e_range_ratio_overall,e_spike_share_overall,e_n_commodities_used,e_vol_logret_veg,e_low_coverage
Thiruvallur,18.1,17.0,3.6,20.6,58.4,56.8,10.5,806,85.9,75.6,93.4,100.0,57.4,100.0,26.3,,,,,,,,,0,,1,,,,,,,,0,,1
Chennai,20.4,18.3,7.6,21.9,55.3,50.3,7.4,743,96.1,90.4,97.7,98.7,58.2,100.0,15.1,,,,,,,,,0,,1,,,,,,,,0,,1
Kancheepuram,20.6,15.7,6.9,19.8,68.8,57.0,12.6,816,84.5,75.9,88.1,99.4,59.7,100.0,21.7,,0.0545610790058706,,,0.0545610790058706,0.06014056012014,0.1755801444598125,0.0,1,,1,0.0760336491587617,,,0.0760336491587617,0.1097435866505632,0.3186900958466453,0.0333333333333333,1,,1
Vellore,29.8,13.1,2.5,19.7,60.9,50.6,11.4,880,84.7,76.2,85.3,97.7,71.4,99.5,9.9,,0.1442834714302584,0.077271738474132,0.2652248660876444,0.1812600278072623,0.160656559951531,0.4783496443912518,0.1834886128364389,8,,0,0.1579374316868012,0.0657727590056463,0.2651126116452416,0.186607540086072,0.2040958249111294,0.6181742878376968,0.1602818293158158,8,,0
Tiruvannamalai,30.6,14.8,4.0,25.0,64.7,56.6,12.6,874,81.7,61.7,70.7,98.5,69.6,99.1,3.6,,0.0689779372184112,0.0720565085826313,,0.0705172229005213,0.1176705804436675,0.3536141531979487,0.0,2,,1,0.060349635122198,0.0674495039738702,0.1912321084268641,0.1275658389874491,0.197418264814266,0.5576256368964077,0.0686764705882353,4,,0
Viluppuram,23.9,12.4,3.4,20.5,73.4,62.5,17.2,859,77.8,53.8,68.6,98.4,77.6,99.1,19.8,,0.0634034677053276,0.1355005384588012,0.2074173829938669,0.1354329536268982,0.1711717624420647,0.5105667647483881,0.1255952380952381,8,,0,0.0608625885925338,0.1207279112084007,0.2052080570463093,0.1299584699166663,0.210277249683319,0.65035709125747,0.1156899222596035,8,,0
Salem,23.6,10.1,4.3,20.8,51.3,46.3,10.1,882,83.2,64.5,84.5,97.6,67.5,100.0,6.7,,0.1039914719343191,0.1067419292381092,,0.1053667005862141,0.1510885423028444,0.3633241500937662,0.0519666199813258,6,,0,0.1003830446147769,0.0851354434548959,,0.0927592440348364,0.1555048521181079,0.4385673661075635,0.0325781571228582,6,,0
Namakkal,25.2,10.3,4.3,15.7,67.9,51.9,9.4,888,88.9,75.2,89.7,99.5,68.8,100.0,12.9,,0.1097956019716716,0.1143043178147418,,0.1120499598932067,0.2191277815220704,0.5565326236169863,0.064258658008658,4,,0,0.0889263824926655,0.1856156499936626,,0.137271016243164,0.2428773607368612,0.6125743484065459,0.0542008189373892,4,,0
Erode,19.4,20.9,11.2,26.9,46.5,55.4,11.4,877,83.1,67.6,95.9,98.9,77.7,100.0,19.1,,0.0760010909656863,0.0949411185436662,,0.0873651075124742,0.154302372018589,0.4621254709504273,0.0,5,,0,0.1514129155076378,0.1270127743817186,,0.1392128449446782,0.2185644044038042,0.6508416064515992,0.1023148148148148,8,,0
The Nilgiris,26.7,17.3,7.7,23.2,45.9,44.2,10.8,904,90.6,83.6,81.5,96.4,74.5,100.0,18.8,,,,,,,,,0,,1,,,,,,,,0,,1
